Time (year),RF CO2 (W/m2),RF aerosols (W/m2),RF other than CO2 and aerosols (W/m2)
1765,0.0,0.0,0.0
1766,0.011049082,-0.000675976,0.115653444
1767,0.023246047,-0.002066998,0.251852421
1768,0.025605215,-0.003506856,0.256772281
1769,0.028057033,-0.004954363,0.21894257
1770,0.03055287,-0.006391459,0.218662979
1771,0.033093627,-0.008191986,0.259240629
1772,0.035705793,-0.009976755,0.274128052
1773,0.038397133,-0.011356966,0.263715683
1774,0.041160901,-0.01270254,0.249641179
1775,0.044009648,-0.014012763,0.238842165
1776,0.046979223,-0.015287343,0.24516418
1777,0.050067292,-0.016526278,0.272219646
1778,0.053202569,-0.017729763,0.302402384
1779,0.05628708,-0.018898132,0.310191962
1780,0.059234532,-0.02003182,0.302471248
1781,0.06201229,-0.021567991,0.293277521
1782,0.064664134,-0.02307257,0.249428376
1783,0.067271913,-0.024109188,0.132442595
1784,0.069921132,-0.025112828,0.04546089
1785,0.072693308,-0.026084191,0.115843943
1786,0.075631696,-0.027023976,0.2409541
1787,0.078703283,-0.02793288,0.302228607
1788,0.081821836,-0.028811597,0.308758611
1789,0.084889902,-0.029660819,0.195824757
1790,0.087836927,-0.030481228,0.031526544
1791,0.090660982,-0.031720164,0.049079212
1792,0.09339792,-0.032931794,0.172332524
1793,0.096060423,-0.033670013,0.23218477
1794,0.098642066,-0.034381886,0.22747827
1795,0.1011408,-0.035068072,0.190773442
1796,0.10356312,-0.035729227,0.177218677
1797,0.10591503,-0.036812009,0.192953549
1798,0.10819345,-0.037870688,0.207144648
1799,0.11039084,-0.038459809,0.213703669
1800,0.11250486,-0.03947085,0.23042582
1801,0.11454316,-0.040459338,0.251730578
1802,0.11651278,-0.041867498,0.248292338
1803,0.1184099,-0.042811099,0.232695799
1804,0.12022542,-0.042847477,0.228873797
1805,0.1219681,-0.04330705,0.22688789
1806,0.1236704,-0.044187553,0.217079623
1807,0.12533497,-0.045048591,0.207049891
1808,0.12690511,-0.045450548,-0.288063492
1809,0.12830042,-0.045834932,-1.432583888
1810,0.12946317,-0.046202307,-1.835225463
1811,0.1304044,-0.046988661,-1.039544299
1812,0.13119381,-0.047758107,-0.362618293
1813,0.13190268,-0.04807573,-0.161734092
1814,0.13259134,-0.048378481,-0.683174499
1815,0.13331508,-0.049097878,-2.146158602
1816,0.13409903,-0.050231969,-2.647045861
1817,0.13491805,-0.051347739,-1.477800511
1818,0.13571684,-0.052018673,-0.349345887
1819,0.13643515,-0.052247777,0.101159597
1820,0.13702906,-0.052465008,0.227302718
1821,0.13750239,-0.052670881,0.234152981
1822,0.13789659,-0.053287704,0.236913494
1823,0.13825059,-0.054313124,0.241604664
1824,0.13859452,-0.054904197,0.250046637
1825,0.13895098,-0.055481569,0.264208279
1826,0.13932247,-0.056048603,0.282755463
1827,0.13969896,-0.056602739,0.302280349
1828,0.14007543,-0.05714743,0.31267249
1829,0.14045187,-0.057268842,0.286334542
1830,0.14082828,-0.05983842,0.07059477
1831,0.14054596,-0.061985112,-0.321273268
1832,0.1385692,-0.061662785,-0.427595945
1833,0.1356501,-0.062147465,-0.135478426
1834,0.13282363,-0.062625217,-0.285498133
1835,0.12999566,-0.063093126,-0.886015654
1836,0.1271662,-0.065149588,-0.797080872
1837,0.12433524,-0.066793151,-0.182349169
1838,0.12244727,-0.067226829,0.193958939
1839,0.12197515,-0.06804864,0.30957468
1840,0.12197515,-0.069251536,0.290781286
1841,0.12244727,-0.070443016,0.267335976
1842,0.12386337,-0.071619434,0.267729314
1843,0.12575101,-0.072785088,0.240486098
1844,0.12810952,-0.073936271,0.234404641
1845,0.13140969,-0.076219158,0.283643618
1846,0.13470811,-0.077724999,0.334607869
1847,0.13753359,-0.078830357,0.371155547
1848,0.14082795,-0.080304988,0.398394488
1849,0.14412058,-0.081760072,0.382637532
1850,0.14694109,-0.084206384,0.342661444
1851,0.14976013,-0.085329759,0.334194749
1852,0.15210829,-0.089862367,0.338274987
1853,0.15445521,-0.094906246,0.333926336
1854,0.15727029,-0.098208447,0.325079597
1855,0.16008389,-0.101393282,0.184135622
1856,0.162896,-0.103266545,-0.270701965
1857,0.16570665,-0.105317054,-0.504879886
1858,0.16898372,-0.105997353,-0.159822708
1859,0.17225908,-0.107968928,0.197818888
1860,0.17506481,-0.116387795,0.332032465
1861,0.17786907,-0.128866385,0.308787805
1862,0.18020493,-0.128795571,0.206705041
1863,0.18253957,-0.125485166,0.206849986
1864,0.18533992,-0.127995847,0.278889867
1865,0.18767253,-0.132042374,0.315133894
1866,0.1895378,-0.140424334,0.325931334
1867,0.19140242,-0.14928997,0.33742729
1868,0.19373219,-0.152486062,0.363518892
1869,0.19652669,-0.151234006,0.395412426
1870,0.19931973,-0.151466987,0.422015857
1871,0.2025763,-0.160402206,0.426645026
1872,0.20629582,-0.179061449,0.395538269
1873,0.21047702,-0.1947542,0.35406617
1874,0.21558294,-0.198352789,0.336504589
1875,0.22114773,-0.198586719,0.309899989
1876,0.22716948,-0.197983873,0.259123863
1877,0.23410923,-0.193504655,0.252376955
1878,0.24150205,-0.191345908,0.284053268
1879,0.24934541,-0.195208839,0.314109429
1880,0.25809794,-0.207646903,0.349503923
1881,0.26729609,-0.215360381,0.377269521
1882,0.27602009,-0.215031415,0.278831575
1883,0.28427149,-0.218087204,-0.629717546
1884,0.29251018,-0.220358535,-1.373927045
1885,0.29982345,-0.218681403,-0.800080887
1886,0.30575788,-0.217795601,-0.323770859
1887,0.31077419,-0.220931602,-0.207057768
1888,0.31487495,-0.230782424,-0.100691462
1889,0.31851727,-0.235671466,-0.167355374
1890,0.32170241,-0.238864492,-0.206323788
1891,0.32443091,-0.246706766,-0.105892434
1892,0.32715801,-0.25198686,0.09628362
1893,0.32942964,-0.255718184,0.266655774
1894,0.33124617,-0.259476638,0.386777178
1895,0.33306208,-0.26487402,0.36677811
1896,0.33487737,-0.268523461,0.196555121
1897,0.33714553,-0.269959278,0.095979808
1898,0.34077243,-0.272220372,0.190147272
1899,0.34575562,-0.276317622,0.298552342
1900,0.35118677,-0.280935729,0.344506769
1901,0.35706406,-0.285747379,0.327173489
