Time (year),CO2 Emissions  (CO2 GtC/yr)
1765,0.003
1766,0.008338296
1767,0.013676593
1768,0.019014889
1769,0.024353185
1770,0.029691482
1771,0.036029778
1772,0.041368074
1773,0.046706371
1774,0.052044667
1775,0.057382963
1776,0.062721259
1777,0.068059556
1778,0.073397852
1779,0.078736148
1780,0.084074445
1781,0.090412741
1782,0.095751037
1783,0.101089334
1784,0.10642763
1785,0.11176593
1786,0.11710422
1787,0.12244252
1788,0.12778082
1789,0.13311911
1790,0.13845741
1791,0.1447957
1792,0.150134
1793,0.1554723
1794,0.16081059
1795,0.16614889
1796,0.17148719
1797,0.17782548
1798,0.18316378
1799,0.18850207
1800,0.19484037
1801,0.20017867
1802,0.20751696
1803,0.21185526
1804,0.21719356
1805,0.22253185
1806,0.22887015
1807,0.23420845
1808,0.23954674
1809,0.24488504
1810,0.25022333
1811,0.25656163
1812,0.26189993
1813,0.26723822
1814,0.27257652
1815,0.27891482
1816,0.28525311
1817,0.29159141
1818,0.2969297
1819,0.302268
1820,0.3076063
1821,0.31294459
1822,0.31928289
1823,0.32562119
1824,0.33095948
1825,0.33729778
1826,0.34263608
1827,0.34897437
1828,0.35431267
1829,0.35965096
1830,0.37098926
1831,0.37532756
1832,0.38066585
1833,0.38700415
1834,0.39234245
1835,0.39868074
1836,0.40801904
1837,0.41335733
1838,0.41969563
1839,0.42603393
1840,0.433372219
1841,0.439710519
1842,0.447048819
1843,0.453387109
1844,0.460725409
1845,0.470063709
1846,0.475401999
1847,0.483740299
1848,0.490078589
1849,0.498416889
1850,0.507755189
1851,0.500785689
1852,0.555622819
1853,0.556354489
1854,0.564817079
1855,0.564679249
1856,0.574934879
1857,0.581231999
1858,0.587232979
1859,0.597253889
1860,0.609966889
1861,0.623223598
1862,0.570716628
1863,0.57774912
1864,0.58613825
1865,0.59379536
1866,0.59691218
1867,0.60360622
1868,0.6072347
1869,0.61276645
1870,0.6166445
1871,0.64366524
1872,0.7403334
1873,0.76129965
1874,0.75771154
1875,0.77842647
1876,0.78787801
1877,0.79713853
1878,0.8050507
1879,0.82534752
1880,0.85724317
1881,0.89187292
1882,0.86066403
1883,0.88051762
1884,0.88712775
1885,0.8922361
1886,0.89814412
1887,0.91116314
1888,0.94173355
1889,0.94020019
1890,0.96775411
1891,0.98224854
1892,0.99719118
1893,0.9944033
1894,1.02336718
1895,1.0504185
1896,1.06527839
1897,1.08956411
1898,1.11600097
1899,1.15920445
1900,1.18720627
1901,1.25494317
1902,1.26897363
1903,1.34367095
1904,1.37229323
1905,1.4328152
1906,1.50353383
1907,1.58776273
1908,1.56141277
1909,1.60237806
1910,1.64098168
1911,1.61489404
1912,1.62684843
1913,1.66597976
1914,1.56479151
1915,1.54374963
1916,1.60911647
1917,1.66619629
1918,1.65030426
1919,1.52565434
1920,1.65328337
1921,1.5604166
1922,1.59294089
1923,1.72328818
1924,1.71986058
1925,1.73308854
1926,1.74448326
1927,1.85918283
1928,1.86467141
1929,1.96922601
1930,1.94887975
1931,1.84334081
1932,1.65922596
1933,1.70158848
1934,1.76986255
1935,1.82171575
1936,1.93129993
1937,1.98869902
1938,1.92388222
1939,1.97144376
1940,2.06583237
1941,2.08436458
1942,2.1110497
1943,2.1547656
1944,2.15139864
1945,1.92914739
1946,2.08014892
1947,2.26217994
1948,2.34413044
1949,2.30112641
1950,2.52233465
1951,2.8565201
1952,2.9056378
